Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,,446.006250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 1,,,,
2,,446.018750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 2,,,,
3,,446.031250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 3,,,,
4,,446.043750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 4,,,,
5,,446.056250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 5,,,,
6,,446.068750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 6,,,,
7,,446.081250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 7,,,,
8,,446.093750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 8,,,,
9,,446.106250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 9,,,,
10,,446.118750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 10,,,,
11,,446.131250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 11,,,,
12,,446.143750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 12,,,,
13,,446.156250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 13,,,,
14,,446.168750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 14,,,,
15,,446.181250,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 15,,,,
16,,446.193750,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,2.0W,PMR 16,,,,
